X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2.120049,41.382928,"0","0","191",57.194,2026/06/01 13:44:00+00,,,,,,,,,,,,,,,,,,,,,
2.120107,41.382943,"0","0","192",57.725,2026/06/01 13:44:05+00,,,,,,,,,,,,,,,,,,,,,
2.120164,41.382958,"0","0","193",58.22,2026/06/01 13:44:10+00,,,,,,,,,,,,,,,,,,,,,
2.120222,41.382983,"0","0","194",58.586,2026/06/01 13:44:16+00,,,,,,,,,,,,,,,,,,,,,
2.120257,41.383029,"0","0","195",58.873,2026/06/01 13:44:22+00,,,,,,,,,,,,,,,,,,,,,
2.120288,41.383074,"0","0","196",59.085,2026/06/01 13:44:28+00,,,,,,,,,,,,,,,,,,,,,
2.120329,41.383113,"0","0","197",59.113,2026/06/01 13:44:34+00,,,,,,,,,,,,,,,,,,,,,
2.120374,41.383146,"0","0","198",59.209,2026/06/01 13:44:54+00,,,,,,,,,,,,,,,,,,,,,
2.120434,41.383155,"0","0","199",59.259,2026/06/01 13:45:01+00,,,,,,,,,,,,,,,,,,,,,
2.120485,41.38318,"0","0","200",59.283,2026/06/01 13:45:33+00,,,,,,,,,,,,,,,,,,,,,
2.120448,41.383217,"0","0","201",59.254,2026/06/01 13:45:51+00,,,,,,,,,,,,,,,,,,,,,
2.120426,41.383261,"0","0","202",59.299,2026/06/01 13:46:22+00,,,,,,,,,,,,,,,,,,,,,
2.120425,41.383208,"0","0","203",59.273,2026/06/01 13:46:30+00,,,,,,,,,,,,,,,,,,,,,
2.120416,41.383163,"0","0","204",59.32,2026/06/01 13:46:34+00,,,,,,,,,,,,,,,,,,,,,
2.120367,41.383124,"0","0","205",59.591,2026/06/01 13:46:47+00,,,,,,,,,,,,,,,,,,,,,
2.120426,41.383112,"0","0","206",59.716,2026/06/01 13:47:10+00,,,,,,,,,,,,,,,,,,,,,
2.120486,41.383092,"0","0","207",59.742,2026/06/01 13:47:41+00,,,,,,,,,,,,,,,,,,,,,
2.120498,41.383045,"0","0","208",60.288,2026/06/01 13:47:52+00,,,,,,,,,,,,,,,,,,,,,
2.120519,41.382999,"0","0","209",60.824,2026/06/01 13:48:11+00,,,,,,,,,,,,,,,,,,,,,
2.120464,41.382976,"0","0","210",61.126,2026/06/01 13:48:22+00,,,,,,,,,,,,,,,,,,,,,
2.12041,41.382944,"0","0","211",61.109,2026/06/01 13:48:36+00,,,,,,,,,,,,,,,,,,,,,
2.120341,41.382939,"0","0","212",61.14,2026/06/01 13:48:44+00,,,,,,,,,,,,,,,,,,,,,
2.12028,41.382945,"0","0","213",60.384,2026/06/01 13:48:50+00,,,,,,,,,,,,,,,,,,,,,
2.120228,41.382922,"0","0","214",59.635,2026/06/01 13:48:57+00,,,,,,,,,,,,,,,,,,,,,
2.12023,41.382876,"0","0","215",59.63,2026/06/01 13:49:24+00,,,,,,,,,,,,,,,,,,,,,
2.120204,41.382935,"0","0","216",59.664,2026/06/01 13:49:40+00,,,,,,,,,,,,,,,,,,,,,
2.120149,41.382963,"0","0","217",59.861,2026/06/01 13:49:44+00,,,,,,,,,,,,,,,,,,,,,
2.12008,41.382957,"0","0","218",59.862,2026/06/01 13:49:49+00,,,,,,,,,,,,,,,,,,,,,
