latitude,longitude,elevation,time
41.38291,2.117987,57.436,2026-06-01 13:54:31.004000+00:00
41.382959,2.118009,57.491,2026-06-01 13:54:35.004000+00:00
41.383013,2.118034,57.455,2026-06-01 13:54:39.004000+00:00
41.383059,2.118068,57.433,2026-06-01 13:54:43.004000+00:00
41.383102,2.118106,57.41,2026-06-01 13:54:47.004000+00:00
41.383145,2.118137,57.543,2026-06-01 13:54:51.004000+00:00
41.38309,2.118133,57.538,2026-06-01 13:55:03.004000+00:00
41.383042,2.118143,57.587,2026-06-01 13:55:07.004000+00:00
41.382986,2.118133,57.542,2026-06-01 13:55:11.004000+00:00
41.382928,2.118117,57.526,2026-06-01 13:55:15.004000+00:00
41.382878,2.118118,57.409,2026-06-01 13:55:19.004000+00:00
41.382824,2.118115,57.44,2026-06-01 13:55:24.004000+00:00
41.382783,2.118147,57.414,2026-06-01 13:55:28.004000+00:00
41.382736,2.118152,57.525,2026-06-01 13:55:34.004000+00:00
41.38278,2.118117,57.74,2026-06-01 13:55:51.004000+00:00
41.382829,2.11811,57.934,2026-06-01 13:55:55.004000+00:00
41.38288,2.118101,58.132,2026-06-01 13:55:58.004000+00:00
41.382922,2.118078,58.259,2026-06-01 13:56:02.004000+00:00
41.382952,2.118031,58.232,2026-06-01 13:56:09.004000+00:00
41.382925,2.117969,58.267,2026-06-01 13:56:14.004000+00:00
41.382874,2.117942,58.244,2026-06-01 13:56:18.004000+00:00
41.382832,2.117893,58.205,2026-06-01 13:56:22.004000+00:00
41.382786,2.117894,58.215,2026-06-01 13:56:27.004000+00:00
41.382746,2.117838,58.309,2026-06-01 13:56:31.004000+00:00
41.382703,2.117803,58.346,2026-06-01 13:56:36.004000+00:00
41.382661,2.117763,58.23,2026-06-01 13:56:40.004000+00:00
41.382615,2.117729,58.121,2026-06-01 13:56:44.004000+00:00
41.382575,2.117692,58.086,2026-06-01 13:56:47.004000+00:00
41.382544,2.117631,57.98,2026-06-01 13:56:53.004000+00:00
41.382516,2.117574,57.998,2026-06-01 13:57:00.004000+00:00
41.382494,2.117516,57.955,2026-06-01 13:57:05.004000+00:00
41.382502,2.117451,58.118,2026-06-01 13:57:12.004000+00:00
41.382542,2.117403,58.443,2026-06-01 13:57:17.004000+00:00
41.382591,2.117364,59.011,2026-06-01 13:57:22.004000+00:00
41.382634,2.117343,59.521,2026-06-01 13:57:26.004000+00:00
41.382682,2.117375,59.603,2026-06-01 13:57:30.004000+00:00
41.382727,2.117356,59.809,2026-06-01 13:57:34.004000+00:00
41.382774,2.117343,60.133,2026-06-01 13:57:37.004000+00:00
41.382827,2.117322,60.347,2026-06-01 13:57:40.004000+00:00
41.382882,2.117303,60.458,2026-06-01 13:57:44.004000+00:00
41.382921,2.117269,60.763,2026-06-01 13:57:47.004000+00:00
41.38297,2.117255,61.237,2026-06-01 13:57:50.004000+00:00
41.383014,2.117238,61.515,2026-06-01 13:57:53.004000+00:00
41.383075,2.117235,61.742,2026-06-01 13:57:57.004000+00:00
41.383118,2.117204,61.875,2026-06-01 13:58:00.004000+00:00
41.38316,2.11718,61.93,2026-06-01 13:58:03.004000+00:00
41.383207,2.11716,62.162,2026-06-01 13:58:06.004000+00:00
41.383248,2.117122,62.383,2026-06-01 13:58:10.004000+00:00
41.383298,2.117118,62.411,2026-06-01 13:58:15.004000+00:00
41.383347,2.117111,62.509,2026-06-01 13:58:19.004000+00:00
41.383387,2.117082,62.788,2026-06-01 13:58:24.006000+00:00
41.383439,2.117068,63.012,2026-06-01 13:58:27.006000+00:00
41.383489,2.117031,63.333,2026-06-01 13:58:31.005000+00:00
41.38354,2.117019,63.518,2026-06-01 13:58:34.005000+00:00
41.383584,2.116991,63.782,2026-06-01 13:58:38.005000+00:00
41.383632,2.116938,64.25,2026-06-01 13:58:43.005000+00:00
41.383658,2.116868,64.337,2026-06-01 13:58:47.005000+00:00
41.383703,2.11685,64.42,2026-06-01 13:58:50.005000+00:00
41.383762,2.116851,65.055,2026-06-01 13:58:54.005000+00:00
41.383809,2.116841,65.573,2026-06-01 13:58:57.005000+00:00
41.38386,2.116812,65.985,2026-06-01 13:59:02.005000+00:00
41.383913,2.116827,66.413,2026-06-01 13:59:06.005000+00:00
41.383961,2.116824,66.609,2026-06-01 13:59:11.005000+00:00
41.384017,2.116833,66.779,2026-06-01 13:59:16.005000+00:00
41.384063,2.116839,66.763,2026-06-01 13:59:21.005000+00:00
41.384073,2.116908,66.744,2026-06-01 13:59:28.005000+00:00
41.38409,2.116968,66.539,2026-06-01 13:59:32.005000+00:00
41.384097,2.117033,66.033,2026-06-01 13:59:35.005000+00:00
41.384118,2.117091,65.671,2026-06-01 13:59:38.005000+00:00
41.38414,2.117143,65.438,2026-06-01 13:59:42.005000+00:00
41.384181,2.117201,65.271,2026-06-01 13:59:47.005000+00:00
41.384234,2.117218,65.046,2026-06-01 13:59:56.005000+00:00
41.384291,2.117219,64.977,2026-06-01 14:00:02.005000+00:00
41.384337,2.117203,64.961,2026-06-01 14:00:06.005000+00:00
